case,tensor_count,op_count,edge_count,noncopy_op_count,ddr_tensor_count,ddr_input_count,ddr_input_bytes,ddr_output_bytes,pipe_m_op_count,pipe_m_cycles,pipe_v_op_count,pipe_v_cycles,pipe_mte2_op_count,pipe_mte2_cycles,pipe_mte3_op_count,pipe_mte3_cycles,tensor_total_bytes,max_tensor_bytes,tensor_size_p50_bytes,tensor_size_p90_bytes,shared_input_count,shared_input_bytes,topological_level_count,estimated_critical_path_cycles,maximum_forward_path_cycles,maximum_backward_path_cycles
case_068,6260,5853,15148,5351,502,407,2739974,31276,1010,249101,4341,154696,407,0,95,0,9936512,36864,512.0,3456,207,1087714,266,48321,48321,48321
case_069,1110,1074,2844,1032,42,36,113766,12288,210,16674,822,15288,36,0,6,0,976780,9216,768.0,2304,30,86118,48,2300,2300,2300
case_070,1630,1437,3424,1191,246,193,419858,106,162,91832,1029,47214,193,0,53,0,2528198,24576,2048.0,2048,92,242182,37,4056,4056,4056
case_071,816,781,2063,741,40,35,111462,9984,156,12534,585,10954,35,0,5,0,769420,9216,768.0,2304,29,83814,48,2300,2300,2300
case_072,32624,31387,88639,29666,1721,1237,11093006,10178,12300,22928094,17366,1708199,1237,0,484,0,202538656,165888,8192.0,8192,1204,11049230,253,31970,31970,31970
case_073,5053,4964,12814,4836,128,89,3881344,159744,1950,8160672,2886,428064,89,0,39,0,15650048,294912,1024,4096,50,3721600,126,220226,220226,220226
case_074,4833,4269,11541,3609,660,564,3776536,192,1400,1579424,2209,198420,564,0,96,0,22558598,8192,4096,8192,429,2719756,41,3093,3093,3093
case_075,7953,7684,20378,7410,274,269,1819782,17408,1560,1107520,5850,644660,269,0,5,0,12892812,16384,512,4096,109,672902,462,182302,182302,182302
case_076,36815,35076,99916,32528,2548,1739,4269056,1618,15281,6061644,17247,947248,1739,0,809,0,100001112,16384,3072,3072,1655,4097024,15,2776,2776,2776
case_077,5208,4872,12652,4486,386,336,2141260,100,920,415406,3566,136672,336,0,50,0,10168792,20736,512.0,8192,110,430412,137,15621,15621,15621
case_078,1156,1094,2812,1024,70,62,2246784,98304,432,2037888,592,103296,62,0,8,0,9531648,165888,3072.0,12288,54,2148480,126,246818,246818,246818
case_079,21252,20130,58980,18720,1410,1122,5812224,3538944,9504,29424384,9216,3760128,1122,0,288,0,245194752,12288,12288.0,12288,1122,5812224,10,5954,5954,5954
case_080,1674,1395,3888,1098,297,279,1904640,73728,558,289044,540,20520,279,0,18,0,8380416,8192,4096.0,8192,279,1904640,9,748,748,748
case_081,5185,4505,11220,3485,1020,680,1044820,696320,0,0,3485,151725,680,0,340,0,6271130,2048,2048,2048,595,1044650,14,409,409,409
case_082,4298,4209,11187,4113,96,89,566406,25600,816,567936,3297,359766,89,0,7,0,6182092,16384,512.0,4096,41,222342,140,54692,54692,54692
case_083,4037,3956,10206,3844,112,81,1184352,253952,1550,810836,2294,71300,81,0,31,0,14907584,73728,2048,8192,50,930400,126,28458,28458,28458
case_084,18309,14001,33387,8616,5385,4308,9927786,3308544,2154,1266552,6462,1240704,4308,0,1077,0,51493524,4608,3072,4608,0,0,10,2330,2330,2330
case_085,20240,19993,53243,19737,256,247,1655942,33792,3780,2565216,15957,1724706,247,0,9,0,27000268,16384,512.0,2048,103,623750,452,165566,165566,165566
case_086,5462,5372,14290,5274,98,90,321126,16896,1026,79182,4248,78060,90,0,8,0,4331916,9216,768.0,1536,72,238182,140,6896,6896,6896
case_087,29569,28666,77339,27556,1110,903,5918684,414,7288,3593280,20268,882784,903,0,207,0,54425176,36864,512,4608,713,4204508,384,82065,82065,82065
case_088,3811,3577,9270,3309,268,234,1829730,68,690,173608,2619,99744,234,0,34,0,6726570,36864,512,4096,85,732998,178,32231,32231,32231
case_089,5348,5254,13628,5120,134,94,402560,163840,2160,589120,2960,109760,94,0,40,0,9201920,18432,1024.0,4096,54,238720,126,16274,16274,16274
case_090,1811,1744,4502,1664,80,67,2188416,39936,702,840528,962,59280,67,0,13,0,6423552,165888,768,3072,54,2148480,126,63938,63938,63938
case_091,34927,33497,96492,31554,1943,1430,6535680,41976,15060,8981360,16494,931710,1430,0,513,0,104722708,73728,3072,3072,1421,6486528,126,56914,56914,56914
case_092,18134,17942,46392,17608,334,192,2093664,1163264,7100,3714152,10508,326600,192,0,142,0,61623488,73728,2048.0,8192,50,930400,126,28458,28458,28458
case_093,1181,901,2285,552,349,280,573440,141312,276,73968,276,12144,280,0,69,0,2418688,2048,2048,2048,4,8192,6,402,402,402
case_094,895,791,1925,647,144,104,471328,55364,116,70944,531,36616,104,0,40,0,3055460,18432,4096,4608,48,213280,38,2486,2486,2486
case_095,7854,6006,14322,3696,2310,1848,8516508,2838528,924,1069992,2772,1014552,1848,0,462,0,65465400,18432,6144.0,18432,0,0,10,4514,4514,4514
case_096,1476,1362,3200,1198,164,114,210260,9298,170,40144,1028,53130,114,0,50,0,2631150,18432,1024.0,4096,66,177472,121,9419,9419,9419
case_097,8320,7488,21568,6592,896,832,4259840,786432,3328,10303488,3264,1331712,832,0,64,0,90308608,12288,12288.0,12288,832,4259840,54,23906,23906,23906
case_098,1700,1553,3615,1365,188,147,697912,82,28,17296,1337,162701,147,0,41,0,8289012,16384,4096.0,16384,75,438286,53,6785,6785,6785
case_099,7610,7054,19599,6296,758,556,2533632,404,2859,1595484,3437,144720,556,0,202,0,17250788,24576,2048.0,4096,470,1933056,31,2828,2828,2828
case_100,1825,1654,4014,1394,260,171,436006,18592,109,62556,1285,102007,171,0,89,0,4788756,18432,512,9216,141,419088,54,4832,4832,4832
